network_type,model,node,entity_type,is_seed,in_degree,out_degree,total_degree,degree_centrality,betweenness,pagerank,total_degree_rank,betweenness_rank,pagerank_rank
expanded_second_pass,arc_apex,Rachel,person,False,0,1,1,0.008771929824561403,0.0,0.0023978201906932096,90.0,63.0,90.0
expanded_second_pass,arc_apex,Sojourner Truth,person,False,2,2,4,0.02631578947368421,0.0,0.009453493443144953,37.0,63.0,27.0
expanded_second_pass,arc_apex,Sojourner Truth Motor Fleet,organisation,False,3,2,5,0.02631578947368421,0.0,0.0138628826577242,29.0,63.0,20.0
expanded_second_pass,arc_apex,Shen Tong,person,False,0,2,2,0.017543859649122806,0.0,0.0023978201906932096,72.0,63.0,90.0
expanded_second_pass,arc_apex,Sojourner Truth Garage,organisation,False,0,1,1,0.008771929824561403,0.0,0.0023978201906932096,90.0,63.0,90.0
expanded_second_pass,arc_apex,night marches,campaign,False,1,1,2,0.017543859649122806,0.0,0.004939518406620702,72.0,63.0,51.0
expanded_second_pass,arc_apex,WATS Reports,publication,False,1,0,1,0.008771929824561403,0.0,0.008682459201580558,90.0,63.0,28.0
expanded_second_pass,arc_apex,Whitney Young,person,False,0,1,1,0.008771929824561403,0.0,0.0023978201906932096,90.0,63.0,90.0
expanded_second_pass,arc_lite,A. Philip Randolph,activist,True,0,4,4,0.04040404040404041,0.020905176402474128,0.003029307996523934,25.0,20.0,68.0
expanded_second_pass,arc_lite,Civil Rights Movement,movement,False,13,10,23,0.21212121212121213,0.23703132061835125,0.039911450574896486,3.0,3.0,6.0
expanded_second_pass,arc_lite,March on Washington Movement,movement,False,1,0,1,0.010101010101010102,0.0,0.003673042968201724,68.0,50.0,60.0
expanded_second_pass,arc_lite,March on Washington for Jobs and Freedom,event,True,5,2,7,0.06060606060606061,0.024829177287574833,0.010322926708666084,10.0,16.0,27.0
expanded_second_pass,arc_lite,Martin Luther King Jr.,activist,True,18,14,32,0.29292929292929293,0.2844782269359526,0.05657357506171005,1.0,2.0,2.0
expanded_second_pass,arc_lite,Alabama,place,False,3,1,4,0.04040404040404041,0.0144793877565247,0.019421599269741532,25.0,27.0,13.0
expanded_second_pass,arc_lite,Brown v. Board of Education,law,False,2,5,7,0.07070707070707072,0.014843429380548567,0.025292203965327255,10.0,25.0,8.0
expanded_second_pass,arc_lite,"Albany, Georgia",place,False,0,2,2,0.020202020202020204,0.0,0.003029307996523934,43.0,50.0,68.0
expanded_second_pass,arc_lite,Southern Christian Leadership Conference,organisation,True,8,6,14,0.13131313131313133,0.1588639396967399,0.02102916800856445,5.0,5.0,11.0
expanded_second_pass,arc_lite,Student Nonviolent Coordinating Committee,organisation,True,25,7,32,0.30303030303030304,0.39938611635936905,0.07421010150049924,1.0,1.0,1.0
expanded_second_pass,arc_lite,Alvin J. Bronstein,person,False,0,6,6,0.06060606060606061,0.0061910064920359924,0.003029307996523934,17.0,34.0,68.0
expanded_second_pass,arc_lite,Civil Rights Act 1964,law,False,1,6,7,0.07070707070707072,0.007828326875945923,0.0034584646443091274,10.0,32.0,63.0
expanded_second_pass,arc_lite,Congress of Racial Equality,organisation,True,6,4,10,0.10101010101010102,0.08025086328271246,0.012290978968699486,6.0,7.0,20.0
